Date,window,strategy,structure,position,lots,pnl,capital_after,iv_direction_correct
2022-10-07,3,data_driven,calendar,SHORT_CALENDAR,18,-13185.000000000004,122738.75000000012,True
2022-10-31,3,data_driven,calendar,LONG_CALENDAR,47,12102.500000000013,134841.25000000012,False
2022-12-07,3,data_driven,calendar,SHORT_CALENDAR,17,13217.499999999998,148058.75000000012,False
2023-01-11,4,data_driven,calendar,LONG_CALENDAR,6,12765.0,160823.75000000012,True
2023-02-15,4,data_driven,calendar,SHORT_CALENDAR,16,-15479.999999999996,145343.75000000012,True
2023-03-10,4,data_driven,calendar,LONG_CALENDAR,7,12985.000000000018,158328.75000000015,True
2023-03-17,4,data_driven,calendar,SHORT_CALENDAR,15,-15562.499999999989,142766.25000000015,True
2023-03-20,4,data_driven,calendar,LONG_CALENDAR,4,12680.000000000004,155446.25000000015,True
2023-03-21,4,data_driven,calendar,SHORT_CALENDAR,18,15119.999999999984,170566.25000000012,True
2023-04-26,4,data_driven,calendar,SHORT_CALENDAR,22,16665.00000000002,187231.25000000015,False
2023-04-28,4,data_driven,calendar,SHORT_CALENDAR,24,-18240.000000000004,168991.25000000015,True
2023-05-03,4,data_driven,calendar,SHORT_CALENDAR,33,16747.50000000001,185738.75000000015,False
2023-05-05,4,data_driven,calendar,SHORT_CALENDAR,50,-6874.999999999946,178863.7500000002,False
2023-08-03,5,data_driven,calendar,LONG_CALENDAR,50,13124.999999999929,191988.75000000015,False
2023-08-28,5,data_driven,calendar,LONG_CALENDAR,47,19152.499999999978,211141.25000000012,True
2023-09-22,5,data_driven,calendar,LONG_CALENDAR,7,18899.999999999993,230041.25000000012,True
2023-09-27,5,data_driven,calendar,LONG_CALENDAR,18,21914.999999999985,251956.25000000012,True
2023-10-04,5,data_driven,calendar,LONG_CALENDAR,29,-24722.499999999975,227233.75000000015,False
2023-10-16,5,data_driven,calendar,LONG_CALENDAR,50,-7999.999999999972,219233.75000000017,True
2023-10-17,5,data_driven,calendar,SHORT_CALENDAR,50,18125.00000000002,237358.7500000002,True
2023-10-19,5,data_driven,calendar,LONG_CALENDAR,13,22099.999999999993,259458.7500000002,False
2023-10-20,5,data_driven,calendar,LONG_CALENDAR,21,25619.99999999999,285078.7500000002,False
2023-10-25,5,data_driven,calendar,LONG_CALENDAR,3,22635.000000000007,307713.7500000002,True
2023-10-31,5,data_driven,calendar,LONG_CALENDAR,50,16750.000000000044,324463.75000000023,True
2023-11-01,5,data_driven,calendar,LONG_CALENDAR,25,31499.99999999999,355963.75000000023,True
2024-02-15,6,data_driven,calendar,LONG_CALENDAR,50,33499.99999999998,389463.75000000023,False
2024-04-05,6,data_driven,calendar,LONG_CALENDAR,32,38600.0,428063.75000000023,True
2024-04-15,6,data_driven,calendar,SHORT_CALENDAR,50,24062.499999999993,452126.25000000023,False
2024-04-23,6,data_driven,calendar,LONG_CALENDAR,50,34000.00000000002,486126.25000000023,False
2024-05-30,6,data_driven,calendar,SHORT_CALENDAR,50,-874.9999999999858,485251.25000000023,True
2024-07-19,7,data_driven,calendar,LONG_CALENDAR,10,47487.5,532738.7500000002,True
2024-07-23,7,data_driven,calendar,LONG_CALENDAR,50,25749.999999999993,558488.7500000002,False
2024-07-25,7,data_driven,calendar,LONG_CALENDAR,50,23875.00000000001,582363.7500000002,True
2024-08-02,7,data_driven,calendar,LONG_CALENDAR,50,-22250.000000000015,560113.7500000002,True
2024-08-05,7,data_driven,calendar,LONG_CALENDAR,45,54899.99999999995,615013.7500000002,True
2024-08-06,7,data_driven,calendar,LONG_CALENDAR,50,-52875.00000000009,562138.7500000001,False
2024-08-07,7,data_driven,calendar,LONG_CALENDAR,50,9187.500000000011,571326.2500000001,False
2024-08-09,7,data_driven,calendar,LONG_CALENDAR,50,10312.5,581638.7500000001,False
2024-08-12,7,data_driven,calendar,LONG_CALENDAR,50,13250.00000000003,594888.7500000001,False
2024-08-14,7,data_driven,calendar,LONG_CALENDAR,50,14499.999999999995,609388.7500000001,False
2024-08-26,7,data_driven,calendar,LONG_CALENDAR,50,42000.000000000044,651388.7500000001,True
2024-08-29,7,data_driven,calendar,LONG_CALENDAR,50,10812.500000000042,662201.2500000001,False
2024-09-04,7,data_driven,calendar,LONG_CALENDAR,50,15312.499999999984,677513.7500000001,True
2024-09-06,7,data_driven,calendar,LONG_CALENDAR,21,67488.75000000001,745002.5000000001,True
2024-09-09,7,data_driven,calendar,LONG_CALENDAR,50,13062.500000000004,758065.0000000001,False
2024-09-12,7,data_driven,calendar,LONG_CALENDAR,39,74002.50000000001,832067.5000000001,False
2024-09-20,7,data_driven,calendar,LONG_CALENDAR,50,81374.99999999999,913442.5000000001,True
2024-10-04,7,data_driven,calendar,LONG_CALENDAR,50,-13187.500000000085,900255.0,True
2024-10-08,7,data_driven,calendar,LONG_CALENDAR,50,71999.99999999999,972255.0,True
2024-11-01,7,data_driven,calendar,LONG_CALENDAR,50,12187.5,984442.5,True
2024-11-06,7,data_driven,calendar,LONG_CALENDAR,39,98280.00000000003,1082722.5,False
2024-11-25,7,data_driven,calendar,LONG_CALENDAR,50,-67437.49999999999,1015285.0,False
2024-12-19,7,data_driven,calendar,LONG_CALENDAR,50,-69874.99999999997,945410.0,True
2024-12-31,7,data_driven,calendar,LONG_CALENDAR,50,6312.500000000015,951722.5,True
2025-01-06,8,data_driven,calendar,LONG_CALENDAR,17,94775.00000000001,1046497.5,True
2025-01-08,8,data_driven,calendar,LONG_CALENDAR,50,61875.0,1108372.5,False
2025-01-16,8,data_driven,calendar,SHORT_CALENDAR,50,-25124.999999999993,1083247.5,False
2025-01-28,8,data_driven,calendar,LONG_CALENDAR,50,10437.499999999993,1093685.0,True
2025-01-29,8,data_driven,calendar,LONG_CALENDAR,50,2749.999999999986,1096435.0,True
2025-02-05,8,data_driven,calendar,SHORT_CALENDAR,50,-21312.500000000015,1075122.5,True
2025-02-06,8,data_driven,calendar,SHORT_CALENDAR,50,-4312.500000000021,1070810.0,False
2025-02-24,8,data_driven,calendar,LONG_CALENDAR,50,7624.999999999957,1078435.0,False
2025-02-28,8,data_driven,calendar,LONG_CALENDAR,50,84562.4999999999,1162997.5,True
