Date,strategy,option_type,strike,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2023-02-15,manual_agree,PE,18000.0,2023-02-16,1,123.0,40.85,50,-4107.5,True
2023-02-22,manual_agree,CE,17550.0,2023-02-23,1,227.15,62.8,50,-8217.500000000002,True
2023-03-10,manual_agree,CE,17400.0,2023-03-16,6,152.0,109.1,50,-2145.0000000000005,True
2023-03-13,manual_agree,CE,17150.0,2023-03-16,3,289.95,120.0,50,-8497.5,True
2023-03-17,manual_agree,PE,17100.0,2023-03-23,6,125.05,100.9,50,-1207.4999999999995,True
2023-03-20,manual_agree,CE,17000.0,2023-03-23,3,179.0,106.2,50,-3640.0,True
2023-03-21,manual_agree,PE,17100.0,2023-03-23,2,115.0,75.75,50,-1962.5,True
2023-04-28,manual_agree,PE,18050.0,2023-05-04,6,122.95,61.75,50,-3060.0,True
2023-05-08,manual_agree,PE,18250.0,2023-05-11,3,159.3,59.2,50,-5005.0,False
2023-08-03,manual_agree,CE,19400.0,2023-08-10,7,175.75,116.9,50,-2942.4999999999995,False
2023-09-22,manual_agree,CE,19650.0,2023-09-28,6,190.0,125.7,50,-3215.0,True
2023-10-04,manual_agree,CE,19450.0,2023-10-05,1,60.2,41.8,50,-920.0000000000002,False
2023-10-17,manual_agree,PE,19800.0,2023-10-19,2,70.05,58.65,50,-569.9999999999999,True
2023-10-20,manual_agree,CE,19550.0,2023-10-26,6,125.0,85.3,50,-1985.0000000000002,False
2024-04-15,manual_agree,CE,22250.0,2024-04-18,3,234.05,144.6,25,-2236.2500000000005,True
2024-04-16,manual_agree,CE,22150.0,2024-04-18,2,174.0,83.8,25,-2255.0,True
2024-05-30,manual_agree,CE,22500.0,2024-06-06,7,608.95,461.05,25,-3697.500000000001,False
2024-06-03,manual_agree,PE,23250.0,2024-06-06,3,336.25,319.8,25,-411.2499999999997,True
2024-07-19,manual_agree,CE,24550.0,2024-07-25,6,412.1,222.15,25,-4748.75,True
2024-08-02,manual_agree,CE,24700.0,2024-08-08,6,181.0,142.5,25,-962.5,True
2024-08-05,manual_agree,CE,24050.0,2024-08-08,3,350.8,222.55,25,-3206.25,True
2024-08-07,manual_agree,PE,24300.0,2024-08-08,1,150.5,73.2,25,-1932.5,True
2024-08-26,manual_agree,PE,25000.0,2024-08-29,3,160.0,82.15,25,-1946.2499999999998,False
2024-09-10,manual_agree,PE,25050.0,2024-09-12,2,150.0,92.55,25,-1436.25,True
2024-09-12,manual_agree,PE,25400.0,2024-09-19,7,398.55,184.95,25,-5340.000000000001,True
2024-09-20,manual_agree,PE,25800.0,2024-09-26,6,301.05,154.35,25,-3667.5000000000005,False
2024-10-04,manual_agree,CE,25000.0,2024-10-10,6,371.0,206.05,25,-4123.75,True
2024-11-06,manual_agree,PE,24500.0,2024-11-07,1,339.0,108.35,25,-5766.25,True
2024-11-25,manual_agree,PE,24200.0,2024-11-28,3,210.0,117.95,25,-2301.25,True
2024-12-19,manual_agree,CE,23950.0,2024-12-26,7,232.0,241.45,25,236.24999999999972,True
2025-01-13,manual_agree,CE,23100.0,2025-01-16,3,271.0,149.3,25,-3042.4999999999995,True
2025-01-16,manual_agree,PE,23300.0,2025-01-23,7,160.0,167.6,25,189.99999999999986,False
2025-01-29,manual_agree,PE,23150.0,2025-01-30,1,203.25,152.1,25,-1278.7500000000002,False
2025-02-05,manual_agree,PE,23700.0,2025-02-06,1,84.9,81.1,25,-95.00000000000028,True
2025-02-24,manual_agree,CE,22550.0,2025-02-27,3,225.0,140.25,25,-2118.75,False
2025-02-28,manual_agree,CE,22100.0,2025-03-06,6,414.95,196.75,25,-5455.0,True
2025-03-06,manual_agree,PE,22550.0,2025-03-13,7,202.0,162.3,25,-992.4999999999998,False
2025-03-17,manual_agree,PE,22500.0,2025-03-20,3,130.0,98.6,25,-785.0000000000001,False
2025-03-20,manual_agree,PE,23200.0,2025-03-27,7,232.5,137.05,25,-2386.2499999999995,True
2025-04-04,manual_agree,CE,22900.0,2025-04-09,5,310.0,110.55,25,-4986.25,False
2025-04-09,manual_agree,CE,22400.0,2025-04-17,8,350.05,321.65,25,-710.0000000000009,True
2025-04-15,manual_agree,PE,23350.0,2025-04-17,2,240.05,123.4,25,-2916.25,True
2025-04-21,manual_agree,PE,24150.0,2025-04-24,3,319.25,132.15,25,-4677.5,False
2025-04-23,manual_agree,PE,24350.0,2025-04-24,1,125.0,88.05,25,-923.7500000000001,False
2025-04-28,manual_agree,PE,24350.0,2025-04-30,2,328.25,107.5,25,-5518.75,True
2025-05-05,manual_agree,PE,24450.0,2025-05-08,3,151.0,98.85,25,-1303.7500000000002,True
2025-05-22,manual_agree,CE,24600.0,2025-05-29,7,360.25,229.15,25,-3277.5,False
2025-06-09,manual_agree,PE,25100.0,2025-06-12,3,150.2,130.5,25,-492.4999999999997,False
2025-06-25,manual_agree,PE,25250.0,2025-06-26,1,146.0,68.1,25,-1947.5000000000002,True
2022-04-06,manual_disagree,PE,17800.0,2022-04-07,1,54.0,54.35,50,17.50000000000007,True
2022-05-04,manual_disagree,CE,16700.0,2022-05-05,1,403.25,88.95,50,-15715.0,True
2022-05-11,manual_disagree,PE,16150.0,2022-05-12,1,74.85,77.4,50,127.50000000000057,False
2022-06-20,manual_disagree,PE,15350.0,2022-06-23,3,176.0,145.25,50,-1537.5,True
2022-09-21,manual_disagree,PE,17700.0,2022-09-22,1,75.95,110.3,50,1717.4999999999998,True
2022-09-30,manual_disagree,PE,17100.0,2022-10-06,6,340.0,158.95,50,-9052.5,True
2023-01-11,manual_disagree,CE,17900.0,2023-01-12,1,96.3,63.75,50,-1627.4999999999998,True
2023-03-15,manual_disagree,CE,16950.0,2023-03-16,1,209.75,78.6,50,-6557.5,True
2023-04-26,manual_disagree,CE,17800.0,2023-04-27,1,37.8,47.1,50,465.0000000000002,True
2023-10-25,manual_disagree,CE,19100.0,2023-10-26,1,220.55,76.25,50,-7215.000000000001,True
2023-11-01,manual_disagree,CE,19000.0,2023-11-02,1,144.0,51.75,50,-4612.5,True
2024-02-14,manual_disagree,CE,21850.0,2024-02-15,1,27.0,91.9,25,1622.5000000000002,True
2024-04-05,manual_disagree,CE,22500.0,2024-04-10,5,140.0,133.5,25,-162.5,True
2024-08-29,manual_disagree,CE,25150.0,2024-09-05,7,115.0,163.95,25,1223.7499999999998,False
2024-09-06,manual_disagree,CE,24850.0,2024-09-12,6,348.75,167.25,25,-4537.5,True
2024-09-09,manual_disagree,PE,24950.0,2024-09-12,3,231.55,121.75,25,-2745.0000000000005,True
2024-10-08,manual_disagree,PE,25000.0,2024-10-10,2,255.25,142.9,25,-2808.75,False
2024-12-23,manual_disagree,CE,23750.0,2024-12-26,3,170.0,108.45,25,-1538.75,False
2025-01-06,manual_disagree,CE,23600.0,2025-01-09,3,436.5,204.85,25,-5791.25,True
2025-01-28,manual_disagree,PE,22950.0,2025-01-30,2,158.25,128.0,25,-756.25,False
2025-02-06,manual_disagree,CE,23600.0,2025-02-13,7,289.95,213.75,25,-1904.9999999999998,True
2025-03-10,manual_disagree,CE,22450.0,2025-03-13,3,210.0,126.55,25,-2086.25,True
2025-04-11,manual_disagree,PE,22850.0,2025-04-17,6,300.0,242.3,25,-1442.4999999999998,True
2025-04-17,manual_disagree,PE,23850.0,2025-04-24,7,489.95,192.65,25,-7432.499999999999,True
2025-04-24,manual_disagree,PE,24250.0,2025-04-30,6,158.85,185.8,25,673.7500000000005,True
2025-04-25,manual_disagree,CE,24050.0,2025-04-30,5,369.95,172.0,25,-4948.75,True
2025-05-13,manual_disagree,CE,24600.0,2025-05-15,2,362.6,128.15,25,-5861.25,False
2025-05-26,manual_disagree,PE,25000.0,2025-05-29,3,225.0,185.25,25,-993.75,False
2025-05-27,manual_disagree,CE,24850.0,2025-05-29,2,288.75,191.85,25,-2422.5,True
2025-06-16,manual_disagree,PE,24950.0,2025-06-19,3,309.15,132.2,25,-4423.75,False
2025-06-17,manual_disagree,CE,24850.0,2025-06-19,2,170.0,99.35,25,-1766.2500000000002,False
2025-06-20,manual_disagree,PE,25100.0,2025-06-26,6,355.85,150.75,25,-5127.500000000001,True
2025-06-23,manual_disagree,CE,24950.0,2025-06-26,3,180.0,163.55,25,-411.2499999999997,True
