Date,strategy,position,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2025-06-25,manual_agree,SHORT,2025-06-26,1,25152.1,25252.2,25,-2502.5000000000546,True
2022-04-06,manual_disagree,SHORT,2022-04-28,22,17897.0,17867.45,50,1477.4999999999636,True
2022-05-04,manual_disagree,LONG,2022-05-26,22,17115.1,16702.5,50,-20629.999999999927,True
2022-05-11,manual_disagree,SHORT,2022-05-26,15,16256.7,16177.95,50,3937.5,False
2022-06-20,manual_disagree,SHORT,2022-06-30,10,15340.0,15347.65,50,-382.4999999999818,True
2022-09-21,manual_disagree,SHORT,2022-09-29,8,17776.35,17731.45,50,2244.999999999891,True
2022-09-30,manual_disagree,SHORT,2022-10-27,27,16815.0,17103.2,50,-14410.000000000036,True
2023-01-11,manual_disagree,LONG,2023-01-25,14,18000.0,17962.95,50,-1852.4999999999636,True
2023-03-15,manual_disagree,LONG,2023-03-29,14,17224.95,17037.35,50,-9380.00000000011,True
2023-04-26,manual_disagree,LONG,2023-04-27,1,17754.9,17814.9,50,3000.0,True
2023-10-25,manual_disagree,LONG,2023-10-26,1,19306.0,19128.0,50,-8900.0,True
2023-11-01,manual_disagree,LONG,2023-11-30,29,19144.05,19060.25,50,-4189.999999999964,True
2024-02-14,manual_disagree,LONG,2024-02-29,15,21675.0,21916.85,25,6046.249999999964,True
2024-04-05,manual_disagree,LONG,2024-04-25,20,22570.0,22595.5,25,637.5,True
2024-08-29,manual_disagree,LONG,2024-09-26,28,25150.0,25265.2,25,2880.000000000018,False
2024-09-06,manual_disagree,LONG,2024-09-26,20,25189.8,24906.0,25,-7094.999999999982,True
2024-09-09,manual_disagree,SHORT,2024-09-26,17,24865.35,24985.0,25,-2991.2500000000364,True
2024-10-08,manual_disagree,SHORT,2024-10-31,23,24983.95,25131.65,25,-3692.500000000018,False
2024-12-23,manual_disagree,LONG,2024-12-26,3,23725.05,23769.75,25,1117.5000000000182,False
2025-01-06,manual_disagree,LONG,2025-01-30,24,24145.1,23721.05,25,-10601.249999999982,True
2025-01-28,manual_disagree,SHORT,2025-01-30,2,22948.0,22977.7,25,-742.5000000000182,False
2025-02-06,manual_disagree,LONG,2025-02-27,21,23822.4,23688.9,25,-3337.5,True
2025-03-10,manual_disagree,LONG,2025-03-27,17,22599.9,22515.65,25,-2106.25,True
2025-04-11,manual_disagree,SHORT,2025-04-24,13,22746.0,22917.65,25,-4291.250000000036,True
2025-04-17,manual_disagree,SHORT,2025-04-24,7,23399.9,23851.3,25,-11284.999999999945,True
2025-04-24,manual_disagree,SHORT,2025-05-29,35,24450.0,24373.0,25,1925.0,True
2025-04-25,manual_disagree,LONG,2025-05-29,34,24465.0,24139.1,25,-8147.500000000036,True
2025-05-13,manual_disagree,LONG,2025-05-29,16,24960.0,24640.2,25,-7994.999999999982,False
2025-05-26,manual_disagree,SHORT,2025-05-29,3,24950.0,25035.9,25,-2147.5000000000364,False
2025-05-27,manual_disagree,LONG,2025-05-29,2,25000.0,24862.6,25,-3435.0000000000364,True
2025-06-16,manual_disagree,SHORT,2025-06-26,10,24755.5,24996.2,25,-6017.500000000018,False
2025-06-17,manual_disagree,LONG,2025-06-26,9,24996.1,24868.8,25,-3182.499999999982,False
2025-06-20,manual_disagree,SHORT,2025-06-26,6,24825.0,25111.7,25,-7167.500000000018,True
2025-06-23,manual_disagree,LONG,2025-06-26,3,24975.0,24993.3,25,457.4999999999818,True
